venue,date (dd/mm/yyyy),time (hh:mm:ss),distance (miles),season (Win|Spr|Sum|Aut),terrain (Road|XC|Mixed),Temperature (degCelcius),AgeGrade (%)
vPocketParkRun,14/03/2020,00:18:57,3.1,Spr,Mixed,10,
vPocketParkRun,07/03/2020,00:23:50,3.1,Spr,Mixed,10,
vPocketParkRun,29/02/2020,00:21:49,3.1,Win,Mixed,5,
vPocketParkRun,22/02/2020,00:20:43,3.1,Win,Mixed,5,
vPocketParkRun,15/02/2020,00:20:39,3.1,Win,Mixed,5,
vPocketParkRun,25/01/2020,00:23:02,3.1,Win,Mixed,0,
vPocketParkRun,11/01/2020,00:22:54,3.1,Win,Mixed,5,
vPocketParkRun,04/01/2020,00:21:22,3.1,Win,Mixed,0,
vPocketParkRun,01/01/2020,00:21:02,3.1,Win,Mixed,5,
vPocketParkRun,30/11/2019,00:19:11,3.1,Win,Mixed,0,
pocket parkrun,14/03/2020,00:18:57,3.1,Spr,Mixed,10,
pocket parkrun,07/03/2020,00:23:50,3.1,Spr,Mixed,10,
pocket parkrun,29/02/2020,00:21:49,3.1,Win,Mixed,5,
pocket parkrun,22/02/2020,00:20:43,3.1,Win,Mixed,5,
pocket parkrun,15/02/2020,00:20:39,3.1,Win,Mixed,5,
pocket parkrun,25/01/2020,00:23:02,3.1,Win,Mixed,0,
pocket parkrun,11/01/2020,00:22:54,3.1,Win,Mixed,5,
pocket parkrun,04/01/2020,00:21:22,3.1,Win,Mixed,0,
pocket parkrun,01/01/2020,00:21:02,3.1,Win,Mixed,5,
pocket parkrun,30/11/2019,00:19:11,3.1,Win,Mixed,0,
pocket parkrun,23/11/2019,00:18:38,3.1,Aut,Mixed,15,
pocket parkrun,16/11/2019,00:22:14,3.1,Aut,Mixed,15,
pocket parkrun,02/11/2019,00:20:12,3.1,Aut,Mixed,15,
pocket parkrun,26/10/2019,00:23:09,3.1,Aut,Mixed,15,
pocket parkrun,19/10/2019,00:19:11,3.1,Sum,Mixed,20,
pocket parkrun,05/10/2019,00:19:48,3.1,Sum,Mixed,20,
pocket parkrun,14/09/2019,00:23:32,3.1,Sum,Mixed,20,
pocket parkrun,07/09/2019,00:20:23,3.1,Sum,Mixed,20,
pocket parkrun,31/08/2019,00:18:58,3.1,Sum,Mixed,20,
pocket parkrun,24/08/2019,00:19:52,3.1,Sum,Mixed,20,
pocket parkrun,17/08/2019,00:19:15,3.1,Sum,Mixed,20,
pocket parkrun,03/08/2019,00:19:02,3.1,Sum,Mixed,20,
pocket parkrun,27/07/2019,00:18:51,3.1,Sum,Mixed,20,
pocket parkrun,29/06/2019,00:18:28,3.1,Sum,Mixed,20,
pocket parkrun,22/06/2019,00:18:51,3.1,Sum,Mixed,20,
pocket parkrun,08/06/2019,00:20:03,3.1,Sum,Mixed,20,
pocket parkrun,01/06/2019,00:18:42,3.1,Spr,Mixed,10,
pocket parkrun,04/05/2019,00:23:57,3.1,Spr,Mixed,10,
pocket parkrun,27/04/2019,00:18:58,3.1,Spr,Mixed,10,
pocket parkrun,13/04/2019,00:24:57,3.1,Spr,Mixed,10,
pocket parkrun,06/04/2019,00:19:42,3.1,Spr,Mixed,10,
pocket parkrun,16/03/2019,00:18:33,3.1,Spr,Mixed,10,
pocket parkrun,09/03/2019,00:20:16,3.1,Spr,Mixed,10,
pocket parkrun,02/03/2019,00:19:56,3.1,Spr,Mixed,10,
pocket parkrun,23/02/2019,00:19:05,3.1,Win,Mixed,5,
pocket parkrun,19/01/2019,00:19:25,3.1,Win,Mixed,5,
pocket parkrun,05/01/2019,00:20:48,3.1,Win,Mixed,5,
pocket parkrun,15/12/2018,00:18:52,3.1,Win,Mixed,5,
pocket parkrun,01/12/2018,00:20:48,3.1,Win,Mixed,5,
pocket parkrun,24/11/2018,00:22:49,3.1,Aut,Mixed,15,
pocket parkrun,20/10/2018,00:18:38,3.1,Aut,Mixed,15,
pocket parkrun,13/10/2018,00:19:24,3.1,Aut,Mixed,15,
pocket parkrun,06/10/2018,00:23:36,3.1,Aut,Mixed,15,
pocket parkrun,22/09/2018,00:19:17,3.1,Aut,Mixed,15,
pocket parkrun,15/09/2018,00:20:03,3.1,Aut,Mixed,15,
pocket parkrun,01/09/2018,00:18:31,3.1,Aut,Mixed,15,
pocket parkrun,25/08/2018,00:18:54,3.1,Sum,Mixed,20,
pocket parkrun,11/08/2018,00:19:12,3.1,Sum,Mixed,20,
pocket parkrun,04/08/2018,00:18:35,3.1,Sum,Mixed,20,
pocket parkrun,21/07/2018,00:20:33,3.1,Sum,Mixed,20,
pocket parkrun,14/07/2018,00:19:25,3.1,Sum,Mixed,20,
pocket parkrun,07/07/2018,00:18:43,3.1,Sum,Mixed,20,
pocket parkrun,23/06/2018,00:18:44,3.1,Sum,Mixed,20,
pocket parkrun,16/06/2018,00:19:12,3.1,Sum,Mixed,20,
